,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
264,Bunnie,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/Bunnie_NH.png/revision/latest/scale-to-width-down/265?cb=20200321102819,Female,Peppy,Rabbit,May 9th (Taurus),Taurus,"""tee-hee""","Flicker Shirt (AF, AF+, AC, AFe+) Jade Check Tee (WW, CF, NL, PC) Jade Check Dress (NH)",A perpetual birthday party,Staying Positive,Gymnast,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Aria,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",55,15,https://www.animalcrossingportal.com/images/villagers/icons/bunnie.png,1st May 2020,Tier 3
246,Ketchup,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Ketchup_HD.png/revision/latest/scale-to-width-down/350?cb=20180404120537,Female,Peppy,Duck,July 27th (Leo),Leo,"""bitty""","Flicker Shirt (AFe+)Rose Sky Tee (NL, PC)",Unknown,Chopping Vegetables,Singer,"Kilimanjaro, a little bit of milk, 1 spoonful of sugar",Unknown,Neapolitan,"AFe+, NL, PC, NH",56,16,https://www.animalcrossingportal.com/images/villagers/icons/ketchup.png,1st May 2020,Tier 3
333,Pietro,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Pietro_NH.png/revision/latest/scale-to-width-down/342?cb=20200317165840,Male,Smug,Sheep,April 19th (Aries),Aries,"""honk honk""",Dawn Tee (NL -PC) Jester Shirt (NH),A dreamland for Pietro.,Making Crafts,Artist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Flashy,K.K. Parade,"NL, HHD, PC, NH",57,17,https://www.animalcrossingportal.com/images/villagers/icons/pietro.png,1st May 2020,Tier 3
285,Fuchsia,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/Fuchsia_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161612,Female,Sisterly,Deer,September 19th (Virgo),Virgo,"""precious""",Dark Polka Tee(NL) Zigzag Dress(NH),A hangout for li'l rebels,Home Repair,Makeup Artist,"Blue Mountain,None at all,None at all",Rock 'N' Roll,K.K. Rock,"NL, HHD, PC, NH",58,18,https://www.animalcrossingportal.com/images/villagers/icons/fuchsia.png,1st May 2020,Tier 3
242,Cheri,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Cheri_NewLeaf_Official.png/revision/latest/scale-to-width-down/291?cb=20130818185212,Female,Peppy,Cub,March 17th (Pisces),Pisces,"""tralala""","Yellow Bar Shirt (AC) Sunflower Tee (NL, PC)",A fruity room for juicing,Staying Positive,Marathon Runner,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Disco,"AF+, AC, AFe+, NL, HHD, PC, NH",59,19,https://www.animalcrossingportal.com/images/villagers/icons/cheri.png,1st May 2020,Tier 3
286,Cherry,https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/Cherry-0.png/revision/latest?cb=20171121001756,Female,Sisterly,Dog,May 11th (Taurus),Taurus,"""what what""","Spider-web Tee (NL, NH)",A catwalk,Waking Up Early,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Fusion,"NL, HHD, PC, NH",60,20,https://www.animalcrossingportal.com/images/villagers/icons/cherry.png,1st May 2020,Tier 3
179,June,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/June_HD.png/revision/latest/scale-to-width-down/350?cb=20180410103444,Female,Normal,Cub,May 21st (Gemini),Gemini,"""rainbow""","Red Aloha Shirt (AFe+)Garden Tank (NL, PC)",Unknown,Photography,Pharmacist ,"Blue Mountain,No milk,No sugar",Unknown,K.K. Aria,"AF+, AC, AFe+, NL, PC,NH",61,21,https://www.animalcrossingportal.com/images/villagers/icons/june.png,1st May 2020,Tier 3
71,Bill,https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Bill_NewLeaf_Official.png/revision/latest/scale-to-width-down/316?cb=20130721173919,Male,Jock,Duck,February 1st (Aquarius),Aquarius,"""quacko""",No. 2 Shirt,A summer house,Bunting,Race Car Driver,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",62,22,https://www.animalcrossingportal.com/images/villagers/icons/bill.png,1st May 2020,Tier 3
103,Snake,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Snake_NH.png/revision/latest/scale-to-width-down/257?cb=20200321203921,Male,Jock,Rabbit,November 3rd (Scorpio),Scorpio,"""bunyip""",Zipper Shirt,A ninja mansion,Playing Jacks,Soccer Player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Lullaby,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",63,23,https://www.animalcrossingportal.com/images/villagers/icons/snake.png,1st May 2020,Tier 3
288,Pashmina,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/Pashmina_newest.png/revision/latest?cb=20170102165003,Female,Sisterly,Goat,December 26th (Capricorn),Capricorn,"""kidders""",Corseted Shirt (NL)Rainbow sweater (NH),"A gorgeous, rococo room",Eating Frequently,Pro Golfer,"Mocha, Lots of milk,Three spoonfuls of sugar",Modern,K.K. Tango,"NL, NH",64,24,https://www.animalcrossingportal.com/images/villagers/icons/pashmina.png,1st May 2020,Tier 3
342,Olivia,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/-Olivia_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/258?cb=20130708015450,Female,Snooty,Cat,February 3rd (Aquarius),Aquarius,"""purrr""",Floral Knit Tee,A piano conservatory,Brainteasers,Drummer,"Kilimanjaro,None at all,None at all",Modern,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, NH",65,25,https://www.animalcrossingportal.com/images/villagers/icons/olivia.png,1st May 2020,Tier 3
237,Rosie,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/NH-Rosie-Render.png/revision/latest?cb=20200324160932,Female,Peppy,Cat,February 27th (Pisces),Pisces,"""silly""","Short Cake Shirt (AC)Dazed Tee (WW, CF, NL, PC)Dazed Dress (NH)",An office/studio for a star,Karaoke,Movie Star,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori",66,26,https://www.animalcrossingportal.com/images/villagers/icons/rosie.png,1st May 2020,Tier 3
53,Wolfgang,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/NH-icon-Wolfgang_00.png/revision/latest/scale-to-width-down/248?cb=20200224182348,Male,Cranky,Wolf,November 25th (Sagittarius),Sagittarius,"""snarrrl""",Gracie Tank(NL) Flight Jacket(NH),A monument to rock,Memorizing Stuff,Journalist,"Blend, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",67,27,https://www.animalcrossingportal.com/images/villagers/icons/wolfgang.png,1st May 2020,Tier 3
335,Kyle,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-icon-Kyle_00.png/revision/latest/scale-to-width-down/248?cb=20200224182134,Male,Smug,Wolf,December 6th (Sagittarius),Sagittarius,"""alpha""",Pleather Vest (NL)Gilet and Shirt (NH),A piped room.,Typing,Singer,"Blue Mountain,Regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Adventure,"NL, HHD, PC, NH",68,28,https://www.animalcrossingportal.com/images/villagers/icons/kyle.png,1st May 2020,Tier 3
265,Carmen,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Carmen_NH.png/revision/latest/scale-to-width-down/247?cb=20200321204617,Female,Peppy,Rabbit,January 6th (Capricorn),Capricorn,"""nougat""","Blue Retro Shirt (CF)  Mint Gingham Tee (NL, PC)Plaid-print Dress (NH)",A chocolate overload,Ventriloquism,Movie Director,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"CF, NL, HHD, PC, NH",69,29,https://www.animalcrossingportal.com/images/villagers/icons/carmen.png,1st May 2020,Tier 3
184,Bea,https://vignette.wikia.nocookie.net/animalcrossing/images/3/39/Bea_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161832,Female,Normal,Dog,October 15th (Libra),Libra,"""bingo""",Go-go Shirt,Unknown,Waking Up Early,Dentist,"Kilimanjaro, A little bit of milk, 1 spoonful of sugar",Unknown,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH",70,30,https://www.animalcrossingportal.com/images/villagers/icons/bea.png,1st May 2020,Tier 3
50,Dobie,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-icon-Dobie_00.png/revision/latest/scale-to-width-down/248?cb=20200224181928,Male,Cranky,Wolf,February 17th (Aquarius),Aquarius,"""ohmmm""",Blue Aloha Shirt AFe+Sweater Vest NL,Unknown,Speed Reading,Writer,"Mocha,A little bit of milk,1 spoonful of sugar",Official,K.K. Lament,"AF+, AC, AFe+, NL , NH",71,1,https://www.animalcrossingportal.com/images/villagers/icons/dobie.png,1st May 2020,Tier 4
275,Bangle,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Bangle_NH.png/revision/latest/scale-to-width-down/291?cb=20200308194154,Female,Peppy,Tiger,August 27th (Virgo),Virgo,"""growf""",Pop Bloom Tee(AFe+ - NL) Pineapple Dress(NH),An animal-print showcase,Tongue Twisters,President,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH",72,2,https://www.animalcrossingportal.com/images/villagers/icons/bangle.png,1st May 2020,Tier 4
290,Reneigh,https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Reneigh.jpg/revision/latest?cb=20200228015638,Female,Sisterly,Horse,June 4th (Gemini),Gemini,"""ayup, yup""",Blue Diamond Tee (PC)Zig-zag Print Dress (NH),Unknown,Unknown,Unknown,Unknown,Earthy,K.K. Synth,"PC, NH",73,3,https://www.animalcrossingportal.com/images/villagers/icons/reneigh.png,1st May 2020,Tier 4
176,Mitzi,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/Mitzinewleaf.png/revision/latest/scale-to-width-down/242?cb=20130719080515,Female,Normal,Cat,September 25th (Libra),Libra,"""mew""","Patchwork Shirt (AC)Gumdrop Tee (WW,CF,NL,PC)","A café with round, zen items",Hula Dancing,Lawyer,"Mocha, Just a little bit of milk, One spoonful of sugar",Rustic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",74,4,https://www.animalcrossingportal.com/images/villagers/icons/mitzi.png,1st May 2020,Tier 4
305,Jacques,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Jacques_HD.png/revision/latest/scale-to-width-down/350?cb=20180613022125,Male,Smug,Bird,June 22nd (Cancer),Cancer,"""zut alors""",Red Flannel Shirt,A hip music room,Beat Boxing,Singer,"Blend, Lots of milk, Three spoonfuls of sugar",Flashy,K.K. House,"NL, HHD, PC, NH",75,5,https://www.animalcrossingportal.com/images/villagers/icons/jacques.png,1st May 2020,Tier 4
260,Sprinkle,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Sprinkle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165219,Female,Peppy,Penguin,February 20th (Pisces),Pisces,"""frappe""",Icy Shirt,A frozen world to play in,Jumping Rope,Figure Skater,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Cute,Cafe K.K.,"NL, HHD, PC, NH",76,6,https://www.animalcrossingportal.com/images/villagers/icons/sprinkle.png,1st May 2020,Tier 4
276,Bianca,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Bianca_NH.png/revision/latest/scale-to-width-down/293?cb=20200308194448,Female,Peppy,Tiger,December 13th (Sagittarius),Sagittarius,"""glimmer""",Red Down Jacket,A snowman's life,Vaulting,Figure Skater,"Kilimanjaro,No milk,No sugar",Modern,K.K. House,"NL, HHD, PC, NH",77,7,https://www.animalcrossingportal.com/images/villagers/icons/bianca.png,1st May 2020,Tier 4
259,Flora,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Flora_NH.png/revision/latest/scale-to-width-down/272?cb=20200308184848,Female,Peppy,Ostrich,February 9th (Aquarius),Aquarius,"""pinky""",Gumdrop Tee,A place that's all pink,Staying Awake,Gymnast,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Flamenco,"NL,NH",78,8,https://www.animalcrossingportal.com/images/villagers/icons/flora.png,1st May 2020,Tier 4
47,Static,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Static_NH.png/revision/latest/scale-to-width-down/350?cb=20200317165528,Male,Cranky,Squirrel,July 9th (Cancer),Cancer,"""krzzt""",Melon Tee,A game haven.,Backflipping,Guitarist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,Surfin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",79,9,https://www.animalcrossingportal.com/images/villagers/icons/static.png,1st May 2020,Tier 4
118,Moe,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Moe.png/revision/latest/scale-to-width-down/350?cb=20180625223045,Male,Lazy,Cat,January 12th (Capricorn),Capricorn,"""myawn""","Fish Bone Shirt (Animal Forest e+)  BB Tee (WW, CF, NL, PC)",A magician's hideaway,Fishing,Ceo,"Kilimanjaro,None at all,None at all",Sporty,K.K. Ragtime,"AFe+, WW, CF, HHD, PC, NH",80,10,https://www.animalcrossingportal.com/images/villagers/icons/moe.png,1st May 2020,Tier 4
79,Ribbot,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Ribbot_NewLeaf_Official.png/revision/latest?cb=20130818042038,Male,Jock,Frog,February 13th (Aquarius),Aquarius,"""zzrrbbitt""","Pulse Shirt Lightning Tee (NL, PC)",A robohouse,Ventriloquism,Astronaut,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,Go K.K. Rider!,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",81,11,https://www.animalcrossingportal.com/images/villagers/icons/ribbot.png,1st May 2020,Tier 4
321,Colton,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/Colton_HD.png/revision/latest/scale-to-width-down/350?cb=20180405151848,Male,Smug,Horse,May 22nd (Gemini),Gemini,"""check it""",Blue Ringmaster Coat,A noble living space,Writing About Pickles,Model,"Kilimanjaro,No milk,No sugar",Ornate,Only Me,"NL, HHD, PC, NH",82,12,https://www.animalcrossingportal.com/images/villagers/icons/colton.png,1st May 2020,Tier 4
52,Lobo,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/NH-icon-Lobo_00.png/revision/latest/scale-to-width-down/248?cb=20200224182155,Male,Cranky,Wolf,November 5th (Scorpio),Scorpio,"""ah-rooooo""",Checkered Tee,A nostalgic throwback,Fishing,Forest Ranger,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Safari,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",83,13,https://www.animalcrossingportal.com/images/villagers/icons/lobo.png,1st May 2020,Tier 4
81,Billy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Billy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163200,Male,Jock,Goat,March 25th (Aries),Aries,"""dagnaabit""",Sharp Outfit,Unknown,Subsistence Living,Archaeologist,"Blue Mountain,No milk,No sugar",Unknown,K.K. Sonata,"AF, AF+, AC, AFe+, NL, NH",84,14,https://www.animalcrossingportal.com/images/villagers/icons/billy.png,1st May 2020,Tier 4
195,Chevre,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/Chevre_NH.png/revision/latest?cb=20200409163246,Female,Normal,Goat,March 6th (Pisces),Pisces,"""la baa""",Natty Tee,A high-security bank vault,Calculating Tips,Teacher,"Blue Mountain,None at all,None at all",Cute,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",85,15,https://www.animalcrossingportal.com/images/villagers/icons/chevre.png,1st May 2020,Tier 4
283,Tammy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/Tammy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161040,Female,Sisterly,Cub,June 23rd (Cancer),Cancer,"""ya heard""",Red Jacket (NL)Athletic Jacket (NH),A Halloween-themed place,Staying Positive,Movie Director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Disco,"NL, HHD, NH",86,16,https://www.animalcrossingportal.com/images/villagers/icons/tammy.png,1st May 2020,Tier 4
274,Peanut,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/NH-Peanut-Render.png/revision/latest/scale-to-width-down/350?cb=20200321142849,Female,Peppy,Squirrel,June 8th (Gemini),Gemini,"""slacker""",Beatnik Tee,The land of the free,Hula Dancing,Model,"Mocha,  The regular amount of milk,  Two sugars",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, Nintendo Land, PC, NH",87,17,https://www.animalcrossingportal.com/images/villagers/icons/peanut.png,1st May 2020,Tier 4
84,Hamlet,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Nhhamlet.png/revision/latest?cb=20200223062646,Male,Jock,Hamster,May 30th (Gemini),Gemini,"""hammie""",Big-Star Tee,A soccer arena,Limboing,Soccer Player,"Blend,  The regular amount of milk,   Two spoonfuls of sugar",Basic,K.K. Reggae,"NL, HHD, PC, NH",88,18,https://www.animalcrossingportal.com/images/villagers/icons/hamlet.png,1st May 2020,Tier 4
343,Purrl,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/Purrlypurl.png/revision/latest/scale-to-width-down/237?cb=20130719081804,Female,Snooty,Cat,May 29th (Gemini),Gemini,"""kitten""","Deep Blue Shirt (AC)Asian Shirt (WW, CF)Periwinkle Tee (NL)",A cozy kotatsu cottage,Writing Backwards,Movie Director,"Kilimanjaro,None at all,None at all",Iconic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",89,19,https://www.animalcrossingportal.com/images/villagers/icons/purrl.png,1st May 2020,Tier 4
371,Blanche,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Blanche_NH.png/revision/latest/scale-to-width-down/265?cb=20200308184757,Female,Snooty,Ostrich,December 21st (Sagittarius),Sagittarius,"""quite so""",Straw Shirt,A traditional tearoom,Dusting,Chef,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jongara,"NL, HHD, NH",90,20,https://www.animalcrossingportal.com/images/villagers/icons/blanche.png,1st May 2020,Tier 4
196,Nan,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Nan_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/324?cb=20160930053504,Female,Normal,Goat,August 24th (Virgo),Virgo,"""kid""",Citrus Gingham ShirtStraw Shirt (NL),A zodiac-figurine stand,Playing Horseshoes,Illustrator,"Blue Mountain,None at all,None at all",Basic,K.K. Étude,"AFe+, WW, CF, NL, NH",91,21,https://www.animalcrossingportal.com/images/villagers/icons/nan.png,1st May 2020,Tier 4
12,Tom,https://vignette.wikia.nocookie.net/animalcrossing/images/7/76/Tom_HD.png/revision/latest/scale-to-width-down/350?cb=20181027223027,Male,Cranky,Cat,December 10th (Sagittarius),Sagittarius,"""me-YOWZA""",BB Tee,A fighter's gym,Doing Chin-Ups,Guitarist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Rally,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",92,22,https://www.animalcrossingportal.com/images/villagers/icons/tom.png,1st May 2020,Tier 4
301,Hazel,https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Hazel_NH.png/revision/latest/scale-to-width-down/350?cb=20200309012107,Female,Sisterly,Squirrel,August 30th (Virgo),Virgo,"""uni-wow""",Red Warmup Suit,A comic artist's workshop.,Making Budgets,Dentist,"Blend,No milk,No sugar",Iconic,K.K. Disco,"NL, HHD, NH",93,23,https://www.animalcrossingportal.com/images/villagers/icons/hazel.png,1st May 2020,Tier 4
131,Lucky,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/LuckyNH.png/revision/latest?cb=20200504212747,Male,Lazy,Dog,November 4th (Scorpio),Scorpio,"""rrr-owch""",No. 23 Shirt,A lucky room for a lucky life,Forgetting Stuff,Doctor,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",94,24,https://www.animalcrossingportal.com/images/villagers/icons/lucky.png,1st May 2020,Tier 4
182,Pekoe,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Pekoe_NH.png/revision/latest?cb=20200409060010,Female,Normal,Cub,May 18th (Taurus),Taurus,"""bud""",Hot Spring Tee NL)Silk Floral-Print Shirt (NH),An exotic resort,Doodling,Aesthetician,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"CF, NL, HHD, PC, NH",95,25,https://www.animalcrossingportal.com/images/villagers/icons/pekoe.png,1st May 2020,Tier 4
222,Vesta,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/NH-Vesta-Render.png/revision/latest/scale-to-width-down/350?cb=20200222193555,Female,Normal,Sheep,April 16th (Aries),Aries,"""baaaffo""",Fall Plaid Tee,A place with a fireplace,Computing,Archaeologist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Historical,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",96,26,https://www.animalcrossingportal.com/images/villagers/icons/vesta.png,1st May 2020,Tier 4
