,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
62,Bunnie,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/Bunnie_NH.png/revision/latest/scale-to-width-down/265?cb=20200321102819,Female,Peppy,Rabbit,May 9th (Taurus),(Taurus),"""tee-hee""","Flicker Shirt (AF, AF+, AC, AFe+) Jade Check Tee (WW, CF, NL, PC) Jade Check Dress (NH)",A perpetual birthday party,Staying positive,Gymnast,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Aria,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
69,Carmen,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Carmen_NH.png/revision/latest/scale-to-width-down/247?cb=20200321204617,Female,Peppy,Rabbit,January 6th (Capricorn),(Capricorn),"""nougat""","Blue Retro Shirt (CF)  Mint Gingham Tee (NL, PC)Plaid-print Dress (NH)",A chocolate overload,Ventriloquism,Movie director,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"CF, NL, HHD, PC, NH"
84,Chrissy,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/Chrissy_NH_pic.png/revision/latest/scale-to-width-down/260?cb=20200321123018,Female,Peppy,Rabbit,August 28th (Virgo),(Virgo),"""sparkles""",Lite Polka Tee(AFe+ - PC)  Lite Polka Dress(NH),A delightfully dotted room,Staying awake,Model,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Waltz,"AFe+, CF, NL, HHD, PC, NH"
118,Dotty,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Dotty_NH.png/revision/latest/scale-to-width-down/253?cb=20200321142147,Female,Peppy,Rabbit,March 14th (Pisces),(Pisces),"""wee one""",Blue-Check Tee,A two-tone room,Home repair,Tennis player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
148,Gabi,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Gabi_NH.png/revision/latest/scale-to-width-down/248?cb=20200322125311,Female,Peppy,Rabbit,December 16th (Sagittarius),(Sagittarius),"""honeybun""",Waffle Tee,A room with a piano,Eating quickly,Pianist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Love Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
282,Pippy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Pippy_NH.png/revision/latest/scale-to-width-down/249?cb=20200311014506,Female,Peppy,Rabbit,June 14th (Gemini),(Gemini),"""li'l hare""","Ugly shirt  (AC)   Mint Gingham Tee  (WW, CF, NL) ",A striped room,Debating,Superhero,"Blue Mountain, Lots of milk,Three spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
319,Ruby,https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/Ruby_NH.png/revision/latest/scale-to-width-down/252?cb=20200307202634,Female,Peppy,Rabbit,December 25th (Capricorn),(Capricorn),"""li'l ears""",Bunny Tee,A room for moon gazing,Doing handstands,Photography,"Blue Mountain, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Ska,"WW, CF, NL, HHD, NH"
383,Wendy,https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/Wendy_NH.png/revision/latest/scale-to-width-down/350?cb=20200312022248,Female,Peppy,Sheep,August 15th (Leo),(Leo),"""lambkins""",Watermelon Tank,A place to spin records,Ventriloquism,Violinist,"House blend,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Bossa,"CF, NL, HHD, PC, NH"
1,Agent S,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Agent_S_NH.png/revision/latest?cb=20200309020615,Female,Peppy,Squirrel,July 2nd (Cancer),(Cancer),"""sidekick""",No. 2 Shirt,A superhero training area,Limboing,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,DJ K.K.,"AFe+, WW, CF, NL, HHD, PC, NH"
251,Nibbles,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NIbbles_NH.png/revision/latest?cb=20200309020910,Female,Peppy,Squirrel,July 19th (Cancer),(Cancer),"""niblet""",Watermelon Tee(AF - NL) Watermelon Tank(NH),Unknown,Juggling,Journalist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
269,Peanut,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/NH-Peanut-Render.png/revision/latest/scale-to-width-down/350?cb=20200321142849,Female,Peppy,Squirrel,June 8th (Gemini),(Gemini),"""slacker""",Beatnik Tee,The land of the free,Hula dancing,Model,"Mocha,  The regular amount of milk,  Two sugars",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, Nintendo Land, PC, NH"
26,Bangle,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Bangle_NH.png/revision/latest/scale-to-width-down/291?cb=20200308194154,Female,Peppy,Tiger,August 27th (Virgo),(Virgo),"""growf""",Pop Bloom Tee(AFe+ - NL) Pineapple Dress(NH),An animal-print showcase,Tongue twisters,President,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH"
37,Bianca,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Bianca_NH.png/revision/latest/scale-to-width-down/293?cb=20200308194448,Female,Peppy,Tiger,December 13th (Sagittarius),(Sagittarius),"""glimmer""",Red Down Jacket,A snowman's life,Vaulting,Figure Skater,"Kilimanjaro,No milk,No sugar",Modern,K.K. House,"NL, HHD, PC, NH"
19,Audie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Audie_poster.png/revision/latest?cb=20200410183255,Female,Peppy,Wolf,August 31st (Virgo),(Virgo),"""Foxtrot""",Sunflower Tee (PC)Tropical Muumuu (NH),Unknown,Unknown,Pop star,Unknown,Unknown,K.K. Island,"PC, NH"
76,Charlise,https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Charlise_HHD.png/revision/latest?cb=20160624003805,Female,Sisterly,Bear,April 17th (Aries),(Aries),"""urgh""","Red Aloha Shirt (AFe+)Red Warmup Suit (NL, PC and NH)",A flower showcase.,Hitting snooze,Archeologist,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,Mr. K.K.,"AFe+, NL, PC, NH"
267,Paula,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/Rachel.png/revision/latest?cb=20130520235305,Female,Sisterly,Bear,March 22nd (Aries),(Aries),"""yodelay""",Denim Shirt AFe+Pep Squad Tee NL,A karaoke parlor,Baton twirling,Volleyball player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"AFe+, NL, NH"
370,Ursala,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Ursala_HD.png/revision/latest/scale-to-width-down/350?cb=20180518170342,Female,Sisterly,Bear,January 16th (Capricorn),(Capricorn),"""grooomph""",Pastel-Stripe Tee,Unknown,Staying positive,Florist,"Mocha,No milk, No sugar",Unknown,K.K. Country,"AF, AF+, AC, AFe+,NL, NH"
191,Katt,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Katt_HD.png/revision/latest/scale-to-width-down/350?cb=20180404115701,Female,Sisterly,Cat,April 27th (Taurus),(Taurus),"""purrty""",Pep-Squad Tee (NL)Old-School Jacket (NH),A gathering of Katts,Playing old maid,Swimmer,"Kilimanjaro,None at all,None at all",Rock 'n' roll,Surfin' K.K.,"NL, NH"
283,Plucky,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/Plucky_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160940,Female,Sisterly,Chicken,October 12 (Libra),(Libra),"""chicky-poo""","Red Aloha Shirt (AFe+)Cool Tank (NL, PC)Tropical Tee (NH)",Unknown,Hula dancing,Dancer,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Island,"AF+, AC, AFe+, NL, NH"
353,Tammy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/Tammy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161040,Female,Sisterly,Cub,June 23rd (Cancer),(Cancer),"""ya heard""",Red Jacket (NL)Athletic Jacket (NH),A Halloween-themed place,Staying positive,Movie director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Disco,"NL, HHD, NH"
107,Deirdre,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Deirdre2.png/revision/latest/scale-to-width-down/334?cb=20200428051747,Female,Sisterly,Deer,May 4th (Taurus),(Taurus),"""whatevs""",Fall Leaf Tee,An autumnal atmosphere,Tiptoeing,Journalist,"Blue Mountain,None at all,None at all",Historical,K.K. Cruisin',"NL, HHD, NH"
147,Fuchsia,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/Fuchsia_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161612,Female,Sisterly,Deer,September 19th (Virgo),(Virgo),"""precious""",Dark Polka Tee(NL) Zigzag Dress(NH),A hangout for li'l rebels,Home Repair,Makeup Artist,"Blue Mountain,None at all,None at all",Rock 'n' roll,K.K. Rock,"NL, HHD, PC, NH"
78,Cherry,https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/Cherry-0.png/revision/latest?cb=20171121001756,Female,Sisterly,Dog,May 11th (Taurus),(Taurus),"""what what""","Spider-web Tee (NL, NH)",A catwalk,Waking up early,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Rock 'n' roll,K.K. Fusion,"NL, HHD, PC, NH"
112,Diva,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/Diva_HD.png/revision/latest/scale-to-width-down/350?cb=20180609194821,Female,Sisterly,Frog,October 2nd (Libra),(Libra),"""ya know""","Amethyst Tee(NL, HHD)Amethyst Tank(PC)Palatial Tank Dress(NH)",A place with good vibes,Home Repair,Hair Stylist,"Kilimanjaro,None at all,None at all",Ornate,K.K.  Bazaar,"NL, HHD, PC, NH"
264,Pashmina,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/Pashmina_newest.png/revision/latest?cb=20170102165003,Female,Sisterly,Goat,December 26th (Capricorn),(Capricorn),"""kidders""",Corseted Shirt (NL)Rainbow sweater (NH),"A gorgeous, rococo room",Eating frequently,Pro golfer,"Mocha, Lots of milk,Three spoonfuls of sugar",Modern,K.K. Tango,"NL, NH"
309,Rocket,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Rocket_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163430,Female,Sisterly,Gorilla,April 14th (Aries),(Aries),"""vroom""",No. 4 Shirt,A superhero hideout,Cramming for tests,Swimmer,"Kilimanjaro, The regular amount of milk, Two spoonfuls of sugar",Sporty,K.K. Adventure,"NL, NH"
300,Reneigh,https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Reneigh.jpg/revision/latest?cb=20200228015638,Female,Sisterly,Horse,June 4th (Gemini),(Gemini),"""ayup, yup""",Blue Diamond Tee (PC)Zig-zag Print Dress (NH),Unknown,Unknown,Unknown,Unknown,Earthy,K.K. Synth,"PC, NH"
349,Sylvia,https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/Sylvia_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163917,Female,Sisterly,Kangaroo,May 3rd (Taurus),(Taurus),"""boing""",Yellow Aloha Tee,A place with a pool.,Playing Jacks,Tour Guide,"Mocha,No milk,No sugar",Ornate,Rockin' K.K.,"AFe+, NL, NH"
67,Canberra,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Canberra_HHD.png/revision/latest?cb=20160624002709,Female,Sisterly,Koala,May 14th (Taurus),(Taurus),"""nuh uh""",Green-Stripe Tank,An international restaurant,Making Faces,Tennis Player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. House,"NL, NH"
326,Shari,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Shari_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164657,Female,Sisterly,Monkey,April 10th (Aries),(Aries),"""cheeky""",Silk Bloom Tee,A bed of nonwilting flowers.,Remembering Stuff,Figure Skater,"Blend, No milk, No sugar",Cute,K.K. Oasis,"NL, PC, NH"
277,Phoebe,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/Phoebe_NH.png/revision/latest/scale-to-width-down/242?cb=20200308185133,Female,Sisterly,Ostrich,April 22nd (Taurus),(Taurus),"""sparky""",Flame Tee,A fiery hangout,Eating frequently,Swimmer,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Flamenco,"NL, HHD, PC, NH"
137,Flo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Flo_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165227,Female,Sisterly,Penguin,September 2nd (Virgo),(Virgo),"""cha""",Fiendish Shirt,A place to practice guitar.,Limboing,Marathon Runner,"Blend,  Just a little bit of milk,  One spoonful of sugar",Ornate,Space K.K.,"NL, NH"
2,Agnes,https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Agnes_NH.png/revision/latest/scale-to-width-down/267?cb=20200321211513,Female,Sisterly,Pig,April 21st (Taurus),(Taurus),"""snuffle""",Dazed Tee,An art museum,Cramming for tests,Pro Golfer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'n' roll,K.K. House,"NL, HHD, PC, NH"
236,Mira,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Mira_NH.png/revision/latest/scale-to-width-down/251?cb=20200307202330,Female,Sisterly,Rabbit,July 6th (Cancer),(Cancer),"""cottontail""",Red-Zap Suit,A futuristic space,Telling jokes,Makeup artist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Tango,"NL, HHD, PC, NH"
299,Renée,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Ren%C3%A9e_NH.png/revision/latest/scale-to-width-down/350?cb=20200317172610,Female,Sisterly,Rhino,May 28th (Gemini),(Gemini),"""yo yo yo""",Sailor's Tee,A vacant lot,Making puns,Marathon runner,"Kilimanjaro, The regular amount of milk, 2 spoonfuls of sugar",Rock 'n' roll,Surfin' K.K.,"NL, HHD, NH"
145,Frita,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/Frita_NH.png/revision/latest/scale-to-width-down/349?cb=20200321205518,Female,Sisterly,Sheep,July 16th (Cancer),(Cancer),"""oh ewe""",Reggae Tee NLHot Dog Tee NH,A fast-food restaurant.,Chopping Vegetables,Chef,"Mocha,No milk,No sugar",Flashy,K.K. Rockabilly,"NL, HHD, NH"
245,Muffy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Muffy_NH.png/revision/latest/scale-to-width-down/350?cb=20200317165954,Female,Sisterly,Sheep,February 14th (Aquarius),(Aquarius),"""nightshade""",Natty Tee,An ornately decorated room,Writing about pickles,Dermatologist,"Mocha,No milk,No sugar",Ornate,K.K. Sonata,"NL, HHD, PC, NH"
169,Hazel,https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Hazel_NH.png/revision/latest/scale-to-width-down/350?cb=20200309012107,Female,Sisterly,Squirrel,August 30th (Virgo),(Virgo),"""uni-wow""",Red Warmup Suit,A comic artist's workshop.,Making Budgets,Dentist,"Blend,No milk,No sugar",Iconic,K.K. Disco,"NL, HHD, NH"
255,Olaf,https://vignette.wikia.nocookie.net/animalcrossing/images/6/66/Olaf_HD.png/revision/latest/scale-to-width-down/350?cb=20180710230500,Male,Smug,Anteater,May 19th (Taurus),(Taurus),"""whiffa""",Matador's Jacket,A million-Bell view,Dancing,Dancer,"Blend,  None at all,  None at all",Official,K.K. Milonga,"New Leaf,  Happy Home Designer,  New Horizons"
30,Beardo,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/Beardo_HHD.png/revision/latest?cb=20160624003458,Male,Smug,Bear,September 27th (Libra),(Libra),"""whiskers""",Detective Outfit,A cultivated garden,Memorizing stuff,Professor,"Blue Mountain,Just a little bit of milk, One spoonful of sugar",Official,K.K. Sonata,"NL, NH"
201,Klaus,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Klaus.png/revision/latest?cb=20161211212842,Male,Smug,Bear,March 31st (Aries),(Aries),"""strudel""",Gold-Armor Suit,An ancient bathhouse,Debating,Politician,"Blue Mountain, Just a little bit of milk,  1 spoonful of sugar",Historical,K.K. Milonga,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
180,Jacques,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Jacques_HD.png/revision/latest/scale-to-width-down/350?cb=20180613022125,Male,Smug,Bird,June 22nd (Cancer),(Cancer),"""zut alors""",Red Flannel Shirt,A hip music room,Beat boxing,Singer,"Blend, Lots of milk, Three spoonfuls of sugar",Flashy,K.K. House,"NL, HHD, PC, NH"
214,Lucha,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Lucha.png/revision/latest?cb=20161211212403,Male,Smug,Bird,December 12th (Sagittarius),(Sagittarius),"""cacaw""",Dragon Jacket,A pro-wrestling arena,Making faces,Pro wrestler,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Western,"NL, NH"
298,Raymond,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/Raymond_NH.png/revision/latest?cb=20200317174731,Male,Smug,Cat,October 1st (Libra),(Libra),"""crisp""",Waistcoat,Unknown,Rapping,Fashion Designer,Unknown,Civic,K.K. Cruisin',"PC, NH"
193,Ken,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Ken_NewLeaf_Official.png/revision/latest/scale-to-width-down/303?cb=20130721192335,Male,Smug,Chicken,December 23rd (Capricorn),(Capricorn),"""no doubt""",Ninja Shirt,A ninja hideout,Clearing their plate,Architect,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"NL, NH"
212,Lopez,https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/Lopez_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161521,Male,Smug,Deer,August 20th (Leo),(Leo),"""buckaroo""",Brown-Bar Tee (NL)Navy Blue Chimayo Vest (NH),A stylish space,Debating,CEO,"Blend,Just a little bit of milk,One spoonful of sugar",Flashy,K.K. Milonga,"NL, HHD, NH"
389,Zell,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Zell.png/revision/latest?cb=20130605214411,Male,Smug,Deer,June 7th (Gemini),(Gemini),"""pronk""",Arctic-Camo Tee,A themed hotel,Calculating tips,Movie director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. D&B,"NL, HHD, PC, NH"
328,Shep,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/Shep.png/revision/latest?cb=20160504180744,Male,Smug,Dog,November 24th (Sagittarius),(Sagittarius),"""baa baa baa""",Denim Vest,Unknown,Speed reading,Professor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Reggae,"NL, NH"
295,Quillson,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Quillson_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162105,Male,Smug,Duck,December 22nd (Capricorn),(Capricorn),"""ridukulous""",Tan Puffy Vest,A recording studio,Skimming books,Musician,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Groove,"NL, NH"
192,Keaton,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Keaton_NH.png/revision/latest/scale-to-width-down/350?cb=20200226233737,Male,Smug,Eagle,June 1st (Gemini),(Gemini),"""wingo""",Raglan Tee,A seaside breakfast nook,Tongue twisters,Musician,"Blend,None at all,None at all",Flashy,K.K. Moody,"NL, NH"
170,Henry,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Henry_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163033,Male,Smug,Frog,September 21st (Virgo),(Virgo),"""snoozit""",Chain-Gang Tee,A contemplative train trip,Oversleeping,Writer,"Mocha, Just a little bit of milk, One spoonful of sugar",Basic,K.K. Soul,"NL, HHD, PC, NH"
175,Huck,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Huck_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162921,Male,Smug,Frog,July 9th (Cancer),(Cancer),"""hopper""",Melon Gingham,Unknown,Clearing my plate,Architect,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,I Love You,"AF, AF+, AC, AFe+, NL, NH"
197,Kidd,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/Kidd_HHD.png/revision/latest?cb=20161213013210,Male,Smug,Goat,June 28th (Cancer),(Cancer),"""wut""",Blue Aloha Shirt (AFe+)Waistcoat (NL),A photography studio,Blowing bubbles,Hair stylist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,Comrade K.K.,"AFe+, NL NL, PC, NH"
167,Hans,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Hans_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163420,Male,Smug,Gorilla,December 5th (Sagittarius),(Sagittarius),"""groovy""",Blue Argyle Tee,An indoor ski run.,Spoon bending,Painter,"Blue Mountain,None at all,None at all",Official,K.K. D & B,"NL, PC, NH"
159,Graham,https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Graham_HHD.png/revision/latest?cb=20161013033113,Male,Smug,Hamster,June 20th (Gemini),(Gemini),"""indeed""",Vegetarian Tee,A start-up company office,Computing,Writer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,Bubblegum K.K.,New Leaf Pocket Camp New Horizons
312,Rodney,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/Rodney_HHD.png/revision/latest?cb=20161013033914,Male,Smug,Hamster,November 10th (Scorpio),(Scorpio),"""le ham""",Red-Bar Tee,A production studio,Hitting Snooze,Chef,"Blend, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Rockabilly,"NL, NH"
171,Hippeux,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Hippeux_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163545,Male,Smug,Hippo,October 15th (Libra),(Libra),"""natch""",Beige Emblem Blazer,An artist's studio,Juggling,Actor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Moody,"NL, PC, NH"
94,Colton,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/Colton_HD.png/revision/latest/scale-to-width-down/350?cb=20180405151848,Male,Smug,Horse,May 22nd (Gemini),(Gemini),"""check it""",Blue Ringmaster Coat,A noble living space,Writing about pickles,Model,"Kilimanjaro,No milk,No sugar",Ornate,Only Me,"NL, HHD, PC, NH"
122,Ed,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/Ed_NewHorizons.png/revision/latest?cb=20200408120037,Male,Smug,Horse,September 16th (Virgo),(Virgo),"""greenhorn""","Mod Top (GCN)  Lite Polka Tee (CF, NL)",A spontaneous dinner party,Juggling,Singer,"Blue Mountain, The regular amount of milk, Two spoonfuls of sugar",Flashy,K.K. Ballad,"AF, AF+, AC, AFe+, CF, NL, New Horizons"
188,Julian,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Julian_HD.png/revision/latest/scale-to-width-down/350?cb=20180405151710,Male,Smug,Horse,March 15th (Pisces),(Pisces),"""glitter""",Twinkle Tee,A mythical home,Speed reader,Designer,"Kilimanjaro,No milk,No sugar",Ornate,Stale Cupcakes,"NL, HHD, PC, NH"
131,Eugene,https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/Eugene_HHD.png/revision/latest?cb=20160624003222,Male,Smug,Koala,October 26th (Scorpio),(Scorpio),"""yeah buddy""",Pleather Vest,A space for self-reflection,Rapping,Guitarist,"Mocha, No milk, No sugar",Rock'n'roll,K.K. Cruisin',"NL, HHD, PC, NH"
206,Leopold,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/Leopold_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164503,Male,Smug,Lion,August 14th (Leo),(Leo),"""lion cub""",noble shirt,Unknown,Debating,Professor,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AF, AF+, AC, AFe+, NL, PC, NH"
209,Lionel,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Lionel_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164514,Male,Smug,Lion,July 29th (Leo),(Leo),"""precisely""",Military Uniform,A guest bathroom or two,Drawing circles,Professor,"Mocha, Lots of milk,  Three spoonfuls of sugar",Historical,K.K. Moody,"NL, NH"
75,Chadder,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chadder_NH.png/revision/latest?cb=20200321101735,Male,Smug,Mouse,December 15th (Sagittarius),(Sagittarius),"""fromage""",Tuxedo,A cheesy place to nibble.,Cramming for tests,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Soul,"NL, HHD, PC, NH"
276,Phil,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Phil_NH.png/revision/latest/scale-to-width-down/264?cb=20200308185050,Male,Smug,Ostrich,November 27th (Sagittarius),(Sagittarius),"""hurk""",Dawn Tee  (New Leaf) Fischerhemd  (New Horizons) ,A personal micro cosmos,Beat boxing,Baseball player,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Iconic,Steep Hill,"NL, HHD, NH"
359,Tex,https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/Tex_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165202,Male,Smug,Penguin,October 6th (Libra),(Libra),"""picante""",Blue Letter Jacket,A rehearsal room for a band,Sprinting,Basketball player,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Rock 'n' roll,K.K. Metal,"NL, HHD, PC, NH"
82,Chops,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chops_NH.png/revision/latest/scale-to-width-down/270?cb=20200312184054,Male,Smug,Pig,October 13th (Libra),(Libra),"""zoink""",Red Ringmaster Coat,A king's chamber,Making crafts,Politician,"Mocha,No milk,No sugar",Ornate,K.K. Moody,"NL,HHD, NH"
254,O'Hare,https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/O%27_Hare_NH.png/revision/latest/scale-to-width-down/248?cb=20200311015610,Male,Smug,Rabbit,July 24th (Leo),(Leo),"""amigo""",Blue Aloha Tee,A tropical resort,Air guitar,Musician,"Blend,No milk,No sugar",Modern,K.K. Island,"AF+, AC, AFe+, NL, HHD, PC, NH"
100,Curlos,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Curlos_NH.png/revision/latest?cb=20200317165801,Male,Smug,Sheep,May 8th (Taurus),(Taurus),"""shearly""",Blue Aloha Shirt (AFe+)Reggae Tee (NL)Zigzag Shirt(NH),A Toy Day celebration,Calculating Tips,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'n' roll,K.K. Samba,"AFe+, NL, NH"
279,Pietro,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Pietro_NH.png/revision/latest/scale-to-width-down/342?cb=20200317165840,Male,Smug,Sheep,April 19th (Aries),(Aries),"""honk honk""",Dawn Tee (NL -PC) Jester Shirt (NH),A dreamland for Pietro.,Making Crafts,Artist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Flashy,K.K. Parade,"NL, HHD, PC, NH"
