,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
280,Claudia,Female,Snooty,Tiger,November 22nd (Scorpio),Scorpio,"""ooh la la""",Spring Shirt,Unknown,Stomping Around,Ceo,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Synth,"NL, HHD, PC, NH",264,13,https://www.animalcrossingportal.com/images/villagers/icons/claudia.png,15th May 2020,Tier 6
72,Reneigh,Female,Sisterly,Horse,June 4th (Gemini),Gemini,"""ayup, yup""",Blue Diamond Tee (PC)Zig-zag Print Dress (NH),Unknown,Unknown,Unknown,Unknown,Earthy,K.K. Synth,"PC, NH",82,12,https://www.animalcrossingportal.com/images/villagers/icons/reneigh.png,15th May 2020,Tier 4
163,Friga,Female,Snooty,Penguin,October 16th (Libra),Libra,"""brrmph""",Cozy Sweater  (AC)   Picnic Tee  (WW - NL) Candy Gingham Tank(NH),"A classic, royal room",Board Games,Drummer,"Blend,A little bit of milk,One spoonful of sugar",Ornate,K.K. Tango,"AF, AF+, AC, AFe+, WW, CF, NL, NH",200,89,https://www.animalcrossingportal.com/images/villagers/icons/friga.png,15th May 2020,Tier 5
63,Pashmina,Female,Sisterly,Goat,December 26th (Capricorn),Capricorn,"""kidders""",Corseted Shirt (NL)Rainbow sweater (NH),"A gorgeous, rococo room",Eating Frequently,Pro Golfer,"Mocha, Lots of milk,Three spoonfuls of sugar",Modern,K.K. Tango,"NL, NH",69,29,https://www.animalcrossingportal.com/images/villagers/icons/pashmina.png,15th May 2020,Tier 3
42,Mira,Female,Sisterly,Rabbit,July 6th (Cancer),Cancer,"""cottontail""",Red-Zap Suit,A futuristic space,Telling Jokes,Makeup Artist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Tango,"NL, HHD, PC, NH",89,18,https://www.animalcrossingportal.com/images/villagers/icons/mira.png,15th May 2020,Tier 4
293,Egbert,Male,Lazy,Chicken,October 14th (Libra),Libra,"""doodle-duh""",Swell Tee,An even-numbered room,Cramming For Tests,Astronaut,"Mocha,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",190,79,https://www.animalcrossingportal.com/images/villagers/icons/egbert.png,15th May 2020,Tier 5
155,Dotty,Female,Peppy,Rabbit,March 14th (Pisces),Pisces,"""wee one""",Blue-Check Tee,A two-tone room,Home Repair,Tennis Player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",186,75,https://www.animalcrossingportal.com/images/villagers/icons/dotty.png,15th May 2020,Tier 5
203,Nibbles,Female,Peppy,Squirrel,July 19th (Cancer),Cancer,"""niblet""",Watermelon Tee(AF - NL) Watermelon Tank(NH),Unknown,Juggling,Journalist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, NH",300,48,https://www.animalcrossingportal.com/images/villagers/icons/nibbles.png,15th May 2020,Tier 6
146,Cube,Male,Lazy,Penguin,January 29th (Aquarius),Aquarius,"""brainfreeze""","N64 Logo Shirt (AF) GC logo Shirt (AC)Big-Dot Tee (WW, CF, NL, PC, NH)",An eco-friendly factory,Staying Awake,Astronaut,"Blend,A little bit of milk,One spoonful of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",94,23,https://www.animalcrossingportal.com/images/villagers/icons/cube.png,15th May 2020,Tier 4
68,Carmen,Female,Peppy,Rabbit,January 6th (Capricorn),Capricorn,"""nougat""","Blue Retro Shirt (CF)  Mint Gingham Tee (NL, PC)Plaid-print Dress (NH)",A chocolate overload,Ventriloquism,Movie Director,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"CF, NL, HHD, PC, NH",157,46,https://www.animalcrossingportal.com/images/villagers/icons/carmen.png,15th May 2020,Tier 5
160,Eunice,Female,Normal,Sheep,April 3rd (Aries),Aries,"""lambchop""",Red-Grid Tee,A toast-warm winter room,Dusting,Hair Stylist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, CF, NL, HHD, NH",194,83,https://www.animalcrossingportal.com/images/villagers/icons/eunice.png,15th May 2020,Tier 5
157,Elmer,Male,Lazy,Horse,October 5th (Libra),Libra,"""tenderfoot""",Gaudy Sweater  Periwinkle Tee (NL),A sock shop for sock lovers,Playing Old Maid,Police Officer,"Blend, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, NH",191,80,https://www.animalcrossingportal.com/images/villagers/icons/elmer.png,15th May 2020,Tier 5
24,Chrissy,Female,Peppy,Rabbit,August 28th (Virgo),Virgo,"""sparkles""",Lite Polka Tee(AFe+ - PC)  Lite Polka Dress(NH),A delightfully dotted room,Staying Awake,Model,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Waltz,"AFe+, CF, NL, HHD, PC, NH",164,53,https://www.animalcrossingportal.com/images/villagers/icons/chrissy.png,15th May 2020,Tier 5
177,Jay,Male,Jock,Bird,July 17th (Cancer),Cancer,"""heeeeeyy""",Six-Ball Tee,A bowling alley,Tongue Twisters,Race Car Driver,"Killimanjaro, None at all, None at all",Sporty,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",222,111,https://www.animalcrossingportal.com/images/villagers/icons/jay.png,15th May 2020,Tier 5
264,Boone,Male,Jock,Gorilla,September 12th (Virgo),Virgo,"""baboom""",Comfy Sweater,A desert paradise,Dancing,Rugby Player,"Blend,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Western,"WW, CF, NL, HHD, PC, NH",141,30,https://www.animalcrossingportal.com/images/villagers/icons/boone.png,15th May 2020,Tier 5
323,Lucha,Male,Smug,Bird,December 12th (Sagittarius),Sagittarius,"""cacaw""",Dragon Jacket,A pro-wrestling arena,Making Faces,Pro Wrestler,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Western,"NL, NH",238,127,https://www.animalcrossingportal.com/images/villagers/icons/lucha.png,15th May 2020,Tier 5
356,Ricky,Male,Cranky,Squirrel,September 14th (Virgo),Virgo,"""nutcase""",Three-Ball Tee,A chiropractic office,Making Faces,Detective,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Western,"AF, AF+, AC, AFe+, NL, NH",338,85,https://www.animalcrossingportal.com/images/villagers/icons/ricky.png,15th May 2020,Tier 6
61,Bill,Male,Jock,Duck,February 1st (Aquarius),Aquarius,"""quacko""",No. 2 Shirt,A summer house,Bunting,Race Car Driver,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",65,25,https://www.animalcrossingportal.com/images/villagers/icons/bill.png,15th May 2020,Tier 3
39,Genji,Male,Jock,Rabbit,January 21st (Aquarius),Aquarius,"""mochi""",Misty Tee,A haunted house,Subsistence Living,Politician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",44,4,https://www.animalcrossingportal.com/images/villagers/icons/genji.png,15th May 2020,Tier 3
118,Annalisa,Female,Normal,Anteater,February 6th (Aquarius),Aquarius,"""gumdrop""",Dazed Tee,A zen restaurant,Waking Up Early,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,King K.K.,"NL, NH",123,12,https://www.animalcrossingportal.com/images/villagers/icons/annalisa.png,15th May 2020,Tier 5
235,Sterling,Male,Jock,Eagle,December 11th (Sagittarius),Sagittarius,"""skraaaaw""",Scale-Armor Suit,An outer-space space,Doing Push-Ups,Police Officer,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Lucky K.K.,"CF, NL, NH",96,25,https://www.animalcrossingportal.com/images/villagers/icons/sterling.png,15th May 2020,Tier 4
379,Vic,Male,Cranky,Bull,December 29th (Capricorn),Capricorn,"""cud""",Scale-Armor Suit,A pirate's refuge,Doing Push-Ups,Archaeologist,"Blue Mountain,Regular amount of milk,Two spoonfuls of sugar",Historical,Lucky K.K.,"NL, HHD, PC, NH",382,128,https://www.animalcrossingportal.com/images/villagers/icons/vic.png,15th May 2020,Tier 6
176,Hopper,Male,Cranky,Penguin,April 6th (Aries),Aries,"""slushie""",Dragon Suit,A dharma dream,Mental Math,Firefighter,"Mocha,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,Lucky K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",217,106,https://www.animalcrossingportal.com/images/villagers/icons/hopper.png,15th May 2020,Tier 5
14,Whitney,Female,Snooty,Wolf,September 17th (Virgo),Virgo,"""snappy""",Floral Knit Tee,A home bathed in white,Typing,Makeup Artist,"Mocha, A little bit of milk,One spoonful of sugar",Ornate,Lucky K.K.,"WW, CF, NL, HHD, PC, Dōbutsu no Mori, NH",39,24,https://www.animalcrossingportal.com/images/villagers/icons/whitney.png,15th May 2020,Tier 2
227,Scoot,Male,Jock,Duck,June 13th (Gemini),Gemini,"""zip zoom""",Frog Tee,A house with a pool,Climbing Trees,Rugby Player,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,Marine Song 2001,"AF, AF+, AC, AFe+ CF, NL, NH",63,23,https://www.animalcrossingportal.com/images/villagers/icons/scoot.png,15th May 2020,Tier 3
283,Coach,Male,Jock,Bull,April 29th (Taurus),Taurus,"""stubble""",Relay Tank,A gym for athletic contests,Eating Quickly,Fisherman,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Marine Song 2001,"NL, NH",167,56,https://www.animalcrossingportal.com/images/villagers/icons/coach.png,15th May 2020,Tier 5
198,Mott,Male,Jock,Lion,July 10th (Cancer),Cancer,"""cagey""",Pirate's Coat (CF)Blue Letter Jacket (NL)College Cardigan (NH),Unknown,Mental Math,Lawyer,"Blue Mountain,  None at all,  None at all",Iconic,Marine Song 2001,"CF, NL, NH",295,43,https://www.animalcrossingportal.com/images/villagers/icons/mott.png,15th May 2020,Tier 6
4,Ankha,Female,Snooty,Cat,September 22nd (Virgo),Virgo,"""me meow""",Red Aloha Shirt  (Animal Forest)  Egyptian Outfit  (City Folk)   Mummy Shirt  (New Leaf)   Palatial Tank Dress   (New Horizons)  ,An ancient tomb,Writing About Pickles,Astronaut,"Kilimanjaro,No milk,No sugar",Historical,Marine Song 2001,"AF+, AC, AFe+, CF, NL, HHD, NH",16,1,https://www.animalcrossingportal.com/images/villagers/icons/ankha.png,15th May 2020,Tier 2
334,Norma,Female,Normal,Cow,September 20th (Virgo),Virgo,"""hoof hoo""",Red Aloha Shirt AFe+Blue Tartan Shirt NL,Unknown,Karaoke,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Unknown,Mountain Song,"AFe+, NL, NH",301,49,https://www.animalcrossingportal.com/images/villagers/icons/norma.png,15th May 2020,Tier 6
12,Beau,Male,Lazy,Deer,April 5th (Aries),Aries,"""saltlick""",Deer Shirt,A self-indulgent picnic spot,Staying Awake,Mayor,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,Mountain Song,"NL, HHD, PC, NH",5,5,https://www.animalcrossingportal.com/images/villagers/icons/beau.png,15th May 2020,Tier 1
207,Ozzie,Male,Lazy,Koala,May 7th (Taurus),Taurus,"""ol' bear""",Giraffe Tee,A trip to the school nurse,Baton Twirling,Pro Golfer,"Kilimanjaro, Lots of milk, Three spoonfuls of sugar",Iconic,Mr. K.K.,"AF, AF+, AC, AFe+, NL, NH",66,26,https://www.animalcrossingportal.com/images/villagers/icons/ozzie.png,15th May 2020,Tier 3
289,Deena,Female,Normal,Duck,June 27th (Cancer),Cancer,"""woowoo""","Rainbow Shirt (AC)Kiddie Tee (WW, CF, NL)",A home gym,Blowing Bubbles,Illustrator,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Modern,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",177,66,https://www.animalcrossingportal.com/images/villagers/icons/deena.png,15th May 2020,Tier 5
188,Leopold,Male,Smug,Lion,August 14th (Leo),Leo,"""lion cub""",noble shirt,Unknown,Debating,Professor,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AF, AF+, AC, AFe+, NL, PC, NH",235,124,https://www.animalcrossingportal.com/images/villagers/icons/leopold.png,15th May 2020,Tier 5
140,Charlise,Female,Sisterly,Bear,April 17th (Aries),Aries,"""urgh""","Red Aloha Shirt (AFe+)Red Warmup Suit (NL, PC and NH)",A flower showcase.,Hitting Snooze,Archaeologist,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,Mr. K.K.,"AFe+, NL, PC, NH",156,45,https://www.animalcrossingportal.com/images/villagers/icons/charlise.png,15th May 2020,Tier 5
242,Teddy,Male,Jock,Bear,September 26th (Libra),Libra,"""grooof""",Club Tee,An awards podium,Playing Old Maid,Police Officer,"Blend, The regular amount of milk, Two spoonfuls of sugar",Basic,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",371,117,https://www.animalcrossingportal.com/images/villagers/icons/teddy.png,15th May 2020,Tier 6
218,Raddle,Male,Lazy,Frog,June 6th (Gemini),Gemini,"""aaach-""","Blue Aloha Shirt (AFe+)Doctor's Coat (NL, PC)",Unknown,Pretending To Sleep,Doctor,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AFe+, NL, NH",104,33,https://www.animalcrossingportal.com/images/villagers/icons/raddle.png,15th May 2020,Tier 4
256,Barold,Male,Lazy,Cub,March 2nd (Pisces),Pisces,"""cubby""",Tiger Tee,A room for stew.,Computing,Programmer,"Blue Mountain,None at all,None at all",Historical,My Place,"NL, NH",129,18,https://www.animalcrossingportal.com/images/villagers/icons/barold.png,15th May 2020,Tier 5
324,Mac,Male,Jock,Dog,November 11th (Scorpio),Scorpio,"""woo woof""",Red Aloha Tee,A summer campsite,Doing Chin-Ups,Boxer,"Blend,None at all,None at all",Sporty,My Place,"CF, NL, NH",241,130,https://www.animalcrossingportal.com/images/villagers/icons/mac.png,15th May 2020,Tier 5
299,Frobert,Male,Jock,Frog,February 8th (Aquarius),Aquarius,"""fribbit""",Gracie Tank,A shrine to all things Gracie,Eating Quickly,Artist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,My Place,"AFe+, WW, CF, NL, NH",270,19,https://www.animalcrossingportal.com/images/villagers/icons/frobert.png,15th May 2020,Tier 6
389,Winnie,Female,Peppy,Horse,January 31st (Aquarius),Aquarius,"""hay-OK""",Cow Tee,A stable for horses,Tiptoeing,Volleyball Player,"Mocha, Just a little bit of milk,  One spoonful of sugar",Modern,My Place,"AF, AF+, AC, AFe+, CF, NL, NH",390,136,https://www.animalcrossingportal.com/images/villagers/icons/winnie.png,15th May 2020,Tier 6
269,Buck,Male,Jock,Horse,April 4th (Aries),Aries,"""pardner""",Eight-Ball TeeGray Sweatshirt(NH),A locker room,Vaulting,Basketball Player,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,My Place,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",147,36,https://www.animalcrossingportal.com/images/villagers/icons/buck.png,15th May 2020,Tier 5
55,Ketchup,Female,Peppy,Duck,July 27th (Leo),Leo,"""bitty""","Flicker Shirt (AFe+)Rose Sky Tee (NL, PC)",Unknown,Chopping Vegetables,Singer,"Kilimanjaro, a little bit of milk, 1 spoonful of sugar",Unknown,Neapolitan,"AFe+, NL, PC, NH",27,12,https://www.animalcrossingportal.com/images/villagers/icons/ketchup.png,15th May 2020,Tier 2
294,Elise,Female,Snooty,Monkey,March 21st (Aries),Aries,"""puh-lease""","Cool ShirtGumdrop Tee (NL, PC)",An eyewear showroom.,Mental Math,Archaeologist,"Blend,  No milk,  No sugar",Official,Neapolitan,"WW, CF, NL, HHD, PC, NH",269,18,https://www.animalcrossingportal.com/images/villagers/icons/elise.png,15th May 2020,Tier 6
254,Anicotti,Female,Peppy,Mouse,February 24th (Pisces),Pisces,"""cannoli""","Desert Shirt (AC)Peachy Tee (NL, PC)",A pizza-party space,Oversleeping,Photographer,"Mocha,No milk,No sugar",Flashy,Neapolitan,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",253,2,https://www.animalcrossingportal.com/images/villagers/icons/anicotti.png,15th May 2020,Tier 6
37,Erik,Male,Lazy,Deer,July 27th (Leo),Leo,"""chow down""",Comfy Sweater,A cozy mountain cottage,Playing Horseshoes,Carpenter,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Neapolitan,"NL, NH",26,11,https://www.animalcrossingportal.com/images/villagers/icons/erik.png,15th May 2020,Tier 2
375,Truffles,Female,Peppy,Pig,July 28th (Leo),Leo,"""snoutie""","Turnip Top (AC, WW, CF)Fern Tee (NL, PC)",A constant quiz show,Trivia,Actor,"Blue Mountain,  A little bit of milk, One spoonful of sugar",Cute,Neapolitan,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",377,123,https://www.animalcrossingportal.com/images/villagers/icons/truffles.png,15th May 2020,Tier 6
154,Dora,Female,Normal,Mouse,February 18th (Aquarius),Aquarius,"""squeaky""",Sharp Outfit,A herb garden,Dusting,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Only Me,"AF, AF+, AC, AFe+, WW, CF, NL, NH",185,74,https://www.animalcrossingportal.com/images/villagers/icons/dora.png,15th May 2020,Tier 5
234,Stella,Female,Normal,Sheep,April 9th (Aries),Aries,"""baa-dabing""",Aurora Knit,Unknown,Magic Tricks,Professor,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,Only Me,"AF, AF+, AC, AFe+, NL, NH",358,105,https://www.animalcrossingportal.com/images/villagers/icons/stella.png,15th May 2020,Tier 6
300,Gigi,Female,Snooty,Frog,August 11th (Leo),Leo,"""ribette""",Beaded Tank,A space for a classy gal.,Subsistence Living,President,"Kilimanjaro,None at all,None at all",Ornate,Only Me,"CF, NL, NH",271,20,https://www.animalcrossingportal.com/images/villagers/icons/gigi.png,15th May 2020,Tier 6
81,Colton,Male,Smug,Horse,May 22nd (Gemini),Gemini,"""check it""",Blue Ringmaster Coat,A noble living space,Writing About Pickles,Model,"Kilimanjaro,No milk,No sugar",Ornate,Only Me,"NL, HHD, PC, NH",170,59,https://www.animalcrossingportal.com/images/villagers/icons/colton.png,15th May 2020,Tier 5
279,Claude,Male,Lazy,Rabbit,December 3rd (Sagittarius),Sagittarius,"""hopalong""",Dark Polka Tee,A pro-Nintendo game shop.,Calculating Tips,Superhero,"Blend, None at all, None at all",Unknown,Pondering,"AF, AF+, AC, AFe+NL, HHD, NH",165,54,https://www.animalcrossingportal.com/images/villagers/icons/claude.png,15th May 2020,Tier 5
284,Cobb,Male,Jock,Pig,October 7th (Libra),Libra,"""hot dog""",Racer Tee,A secret research lab,Debating,Teacher,"Blue Mountain,A little bit of milk,One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",168,57,https://www.animalcrossingportal.com/images/villagers/icons/cobb.png,15th May 2020,Tier 5
153,Doc,Male,Lazy,Rabbit,March 16th (Pisces),Pisces,"""ol' bunny""",Vertigo Tee (AFe+ - NL) Red Flannel Shirt(NH),A fun place for books,Typing,Programmer,"Kilimanjaro,  A little bit of milk, One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, NH",184,73,https://www.animalcrossingportal.com/images/villagers/icons/doc.png,15th May 2020,Tier 5
332,Monty,Male,Cranky,Monkey,December 7th (Sagittarius),Sagittarius,"""g'tang""",Blue-Bar Tee,A monkey mansion,Yo-Yoing,Detective,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Pondering,"WW, CF, NL, NH",292,40,https://www.animalcrossingportal.com/images/villagers/icons/monty.png,15th May 2020,Tier 6
217,Pudge,Male,Lazy,Cub,June 11th (Gemini),Gemini,"""pudgy""","Green Ring Shirt (Animal Crossing, Wild World)Chichi-Print Tee (City Folk)",A nouveau-riche retreat,Blowing Bubbles,Chef,"Blend, Just a little bit of milk,  One spoonful of sugar",Historical,Rockin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",329,76,https://www.animalcrossingportal.com/images/villagers/icons/pudge.png,15th May 2020,Tier 6
23,Freya,Female,Snooty,Wolf,December 14th (Sagittarius),Sagittarius,"""uff da""",Deer Shirt,A pro chef's kitchen,Peeling Apples,Judge,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,Rockin' K.K.,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",109,38,https://www.animalcrossingportal.com/images/villagers/icons/freya.png,15th May 2020,Tier 4
369,Sylvia,Female,Sisterly,Kangaroo,May 3rd (Taurus),Taurus,"""boing""",Yellow Aloha Tee,A place with a pool.,Playing Jacks,Tour Guide,"Mocha,No milk,No sugar",Ornate,Rockin' K.K.,"AFe+, NL, NH",363,109,https://www.animalcrossingportal.com/images/villagers/icons/sylvia.png,15th May 2020,Tier 6
117,Angus,Male,Cranky,Bull,April 30th (Taurus),Taurus,"""macmoo""",Flame Tee,A salty seaside shack,Doing Handstands,Forest Ranger,"Kilimanjaro,No milk,No sugar",Rock 'N' Roll,Señor K.K.,"AFe+, WW, CF, NL, HHD, PC, NH",122,11,https://www.animalcrossingportal.com/images/villagers/icons/angus.png,15th May 2020,Tier 5
245,Tipper,Female,Snooty,Cow,August 25th (Virgo),Virgo,"""pushy""",Rainbow Tee,A dairy farm,Staying Up Late,Violinist,"Blue Mountain,None at all,None at all",Flashy,Soulful K.K.,"WW, CF, NL, NH",375,121,https://www.animalcrossingportal.com/images/villagers/icons/tipper.png,15th May 2020,Tier 6
390,Yuka,Female,Snooty,Koala,July 20th (Cancer),Cancer,"""tsk tsk""",Lemon Gingham Tee,A jungle,Staying Up Late,Journalist,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Modern,Soulful K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",391,137,https://www.animalcrossingportal.com/images/villagers/icons/yuka.png,15th May 2020,Tier 6
11,Marina,Female,Normal,Octopus,June 26th (Cancer),Cancer,"""blurp""","Red Aloha Shirt (AFe+)Bubble-Gum Tee (WW, CF, NL)Dreamy Sweater (NH)",An underwater fantasy land,Tongue Twisters,Pharmacist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Soulful K.K.,"AFe+, WW, CF, NL, PC, NH",6,6,https://www.animalcrossingportal.com/images/villagers/icons/marina.png,15th May 2020,Tier 1
259,Bertha,Female,Normal,Hippo,April 25th (Taurus),Taurus,"""bloop""",Pink Tartan Shirt (AFe+)  Funky-Dot Tee (NL),A ton of baskets,Drawing Circles,Lawyer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Space K.K.,"AF, AF+, AC, AFe+, NL, NH",135,24,https://www.animalcrossingportal.com/images/villagers/icons/bertha.png,15th May 2020,Tier 5
297,Flo,Female,Sisterly,Penguin,September 2nd (Virgo),Virgo,"""cha""",Fiendish Shirt,A place to practice guitar.,Limboing,Marathon Runner,"Blend,  Just a little bit of milk,  One spoonful of sugar",Ornate,Space K.K.,"NL, NH",197,86,https://www.animalcrossingportal.com/images/villagers/icons/flo.png,15th May 2020,Tier 5
30,Zucker,Male,Lazy,Octopus,March 8th (Pisces),Pisces,"""bloop""",Flan Tank(NL) Happi(NH),Unknown,Baton Twirling,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,Spring Blossoms,"NL, HHD, NH",4,4,https://www.animalcrossingportal.com/images/villagers/icons/zucker.png,15th May 2020,Tier 1
222,Rolf,Male,Cranky,Tiger,August 22nd (Leo),Leo,"""grrrolf""",Bubble Tee (AC-NL) Down Jacket (NH),A camping collection,Doing Handstands,Pro Wrestler,"Mocha,A little bit of milk,One spoonful of sugar",Iconic,Spring Blossoms,"AF, AF+, AC, AFe+, WW, CF, NL, NH",108,37,https://www.animalcrossingportal.com/images/villagers/icons/rolf.png,15th May 2020,Tier 4
239,Sylvana,Female,Normal,Squirrel,October 22nd (Libra),Libra,"""hubbub""",Kiwi shirt(AFe+ - NL) Kiwi Tank(NH),Unknown,Doodling,Superhero,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,Spring Blossoms,"AFe+, NL, NH",361,108,https://www.animalcrossingportal.com/images/villagers/icons/sylvana.png,15th May 2020,Tier 6
143,Cole,Male,Lazy,Rabbit,August 10th (Leo),Leo,"""duuude""",Citrus Tee (AC-NL) Citrus Tank(NH),A tropical resort,Drawing Circles,Painter,"Blend,No milk,No sugar",Modern,Spring Blossoms,"NL, HHD, NH",169,58,https://www.animalcrossingportal.com/images/villagers/icons/cole.png,15th May 2020,Tier 5
6,Diana,Female,Snooty,Deer,January 4th (Capricorn),Capricorn,"""no doy""",Natty Tee,A tranquil sanctuary,Playing Poker,Dermatologist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Stale Cupcakes,"NL, HHD, PC, NH",25,10,https://www.animalcrossingportal.com/images/villagers/icons/diana.png,15th May 2020,Tier 2
10,Julian,Male,Smug,Horse,March 15th (Pisces),Pisces,"""glitter""",Twinkle Tee,A mythical home,Speed Reading,Designer,"Kilimanjaro,No milk,No sugar",Ornate,Stale Cupcakes,"NL, HHD, PC, NH",19,4,https://www.animalcrossingportal.com/images/villagers/icons/julian.png,15th May 2020,Tier 2
360,Rodeo,Male,Lazy,Bull,October 29th (Scorpio),Scorpio,"""chaps""",Beatnik Tee(NL) Graduation Gown(NH),A milk factory,Spoon Bending,Astronaut,"Blue Mountain,  The regular amount of milk,  Two spoonfuls of sugar",Historical,Stale Cupcakes,"WW, CF, NL, HHD, PC, NH",344,91,https://www.animalcrossingportal.com/images/villagers/icons/rodeo.png,15th May 2020,Tier 6
145,Cranston,Male,Lazy,Ostrich,September 23rd (Libra),Libra,"""sweatband""",Lotus Tee,A place to grow rice,Backflipping,Ceo,"Blend,None at all,None at all",Modern,Steep Hill,"NL, HHD, NH",173,62,https://www.animalcrossingportal.com/images/villagers/icons/cranston.png,15th May 2020,Tier 5
210,Phil,Male,Smug,Ostrich,November 27th (Sagittarius),Sagittarius,"""hurk""",Dawn Tee  (New Leaf) Fischerhemd  (New Horizons) ,A personal micro cosmos,Beat Boxing,Baseball Player,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Iconic,Steep Hill,"NL, HHD, NH",317,64,https://www.animalcrossingportal.com/images/villagers/icons/phil.png,15th May 2020,Tier 6
251,Al,Male,Lazy,Gorilla,October 18th (Libra),Libra,"""Ayyeeee""",Red Warmup Suit,A kid-friendly exercise room,Jumping Rope,Journalist,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Steep Hill,"CF, NL, HHD, NH",114,3,https://www.animalcrossingportal.com/images/villagers/icons/al.png,15th May 2020,Tier 5
233,Sparro,Male,Jock,Bird,November 20th (Scorpio),Scorpio,"""like whoa""",BB Tee,A place to retire,Playing Poker,Musician,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,Steep Hill,"NL, NH",357,104,https://www.animalcrossingportal.com/images/villagers/icons/sparro.png,15th May 2020,Tier 6
